product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/aadi-mesh-lightweight-comfort-summer-trendy-walking-outdoor-daily-use-walking-shoes-women/p/itmf9c3bd58375fb?pid=SHOGKA9QAZGZGH73&lid=LSTSHOGKA9QAZGZGH73TBD9ZC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_iUg1qLf8H6T9WQ0R4bsdUR11LPV661ak9RRhQ2rvUjoFp1jWOaaQgWsJ6iWMWPLIkegk5RSNqeaO4odddQbluA%3D%3D&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Walking Shoes For Women,aadi ,539,0.73,4,43
https://www.flipkart.com/campus-alice-running-shoes-women/p/itm93503d93679d0?pid=SHOFXNU8ZQMGW65Y&lid=LSTSHOFXNU8ZQMGW65YUKRUM2&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_iUg1qLf8H6T9WQ0R4bsdUR11LPV661ak9RRhQ2rvUjp_-G6RDsOeAX9ycsKf1Y-ePMaXvl4X42O9M114RCBjpg%3D%3D&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,ALICE Running Shoes For Women,CAMPUS ,1063,0.24,4.3,24914
https://www.flipkart.com/shozie-stylish-sneakers-girls-walking-shoes-women/p/itm0ceae6646b935?pid=SHOGGWVUTYQCRMKY&lid=LSTSHOGGWVUTYQCRMKYNUCLP6&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=8d967184-cff0-4bd4-a2cf-7f9ae0b1114c.SHOGGWVUTYQCRMKY.SEARCH&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,Stylish Sneakers Girls Walking Shoes For Women,Shozie ,449,0.55,4,22190
https://www.flipkart.com/sparx-sl-194-running-shoes-women/p/itm519afe456ac85?pid=SHOGYJGZYUQ6SRWX&lid=LSTSHOGYJGZYUQ6SRWXZ3WE4D&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=8d967184-cff0-4bd4-a2cf-7f9ae0b1114c.SHOGYJGZYUQ6SRWX.SEARCH&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,SL 194 Running Shoes For Women,Sparx ,824,0.25,4.2,2804
https://www.flipkart.com/campus-camp-eloy-walking-shoes-women/p/itmd181ea713e1c2?pid=SHOGMNPS5XZEGXUJ&lid=LSTSHOGMNPS5XZEGXUJZTKEGO&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=8d967184-cff0-4bd4-a2cf-7f9ae0b1114c.SHOGMNPS5XZEGXUJ.SEARCH&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,CAMP ELOY Walking Shoes For Women,CAMPUS ,976,0.02,4.3,2770
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-pink-jogging-walking-gym-party/p/itmfgnquqjghwjzc?pid=SHOEEF3QZSZZY6HK&lid=LSTSHOEEF3QZSZZY6HKUOD4Q2&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=8d967184-cff0-4bd4-a2cf-7f9ae0b1114c.SHOEEF3QZSZZY6HK.SEARCH&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,"Cute sports shoes for women | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Lace up Lightweight pink shoes for jogging, walking, gym & party Running Shoes For Women",asian ,675,0.15,4.2,75320
https://www.flipkart.com/campus-cristy-running-shoes-women/p/itm49f603b5ba713?pid=SHOFVUFFZ3CBZHZC&lid=LSTSHOFVUFFZ3CBZHZCJZKDPV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=en_iUg1qLf8H6T9WQ0R4bsdUR11LPV661ak9RRhQ2rvUjqllGrnledVWQJhMgWechxV-1bKRyTH_zFFwBhUos16LOo15S0a61Wzzbg3qNOknKY%3D&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,CRISTY Running Shoes For Women,CAMPUS ,758,0.05,4.2,25257
https://www.flipkart.com/cultsport-dazsh-sports-shoes-breathable-lightweight-enhanced-cushioning-running-women/p/itmb89a4d039a608?pid=SHOGADF2MTXVDC7X&lid=LSTSHOGADF2MTXVDC7X1S1DYX&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_iUg1qLf8H6T9WQ0R4bsdUR11LPV661ak9RRhQ2rvUjpCes_2JnG21a3CRE--9DeukdmJTSdvkwTQ8DFsaLTPtEhz9c-MSIoFe8xMxkfU6dM%3D&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,Dazsh Sports Shoes | Breathable | Lightweight | Enhanced Cushioning Running Shoes For Women,Cultsport ,1928,0.61,4.1,151
https://www.flipkart.com/nike-w-revolution-6-nn-running-shoes-women/p/itm93faa2151359d?pid=SHOGKV32YPGYHE22&lid=LSTSHOGKV32YPGYHE22C7QTWS&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=8d967184-cff0-4bd4-a2cf-7f9ae0b1114c.SHOGKV32YPGYHE22.SEARCH&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,W NIKE REVOLUTION 6 NN Running Shoes For Women,NIKE ,2469,0.33,3.6,229
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBCNZBVG5R&lid=LSTSHOGPDFBCNZBVG5RWZGTHO&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=8d967184-cff0-4bd4-a2cf-7f9ae0b1114c.SHOGPDFBCNZBVG5R.SEARCH&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,"Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,763,0.27,4.2,75320
https://www.flipkart.com/campus-zoe-plus-walking-shoes-women/p/itme2a0ec4d905e0?pid=SHOFXFETM7TGHHYJ&lid=LSTSHOFXFETM7TGHHYJPA6XPH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_iUg1qLf8H6T9WQ0R4bsdUR11LPV661ak9RRhQ2rvUjqi4eqT_4NL0ksmzyHAJKFEUVewr-EdXWXkXmTdzO4IyYnfEY2D5bWfIUmTlXs_oiU%3D&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,ZOE PLUS Walking Shoes For Women,CAMPUS ,650,0.18,4.1,10149
https://www.flipkart.com/asian-mercury-11-black-sports-gym-walking-training-stylish-running-shoes-women/p/itmd6332e857f3ab?pid=SHOGPFGZGHRRHDYQ&lid=LSTSHOGPFGZGHRRHDYQFXAQDD&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_iUg1qLf8H6T9WQ0R4bsdUR11LPV661ak9RRhQ2rvUjqRkAkwll_p9z8ImdoTjVdEryZ7DeXCjPJK7gZwlvqqXfKSJvID5C-RdFfAlzwDiqI%3D&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,"Mercury-11 Black Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,764,0.27,4.2,75320
https://www.flipkart.com/asian-firefly-09-grey-gym-sports-walking-stylish-running-shoes-women/p/itm4f86531082a81?pid=SHOGN9YE8HJFKN4Q&lid=LSTSHOGN9YE8HJFKN4QHADPIJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=FkPickId_osp%2Fiko%2Fd20&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=8d967184-cff0-4bd4-a2cf-7f9ae0b1114c.SHOGN9YE8HJFKN4Q.SEARCH&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,"Firefly-09 Grey Gym,Sports,Walking,Stylish Running Shoes For Women",asian ,734,0.33,4.2,6416
https://www.flipkart.com/campus-blaire-walking-shoes-women/p/itm6ec01766292d1?pid=SHOGSUQTVHHHKVK2&lid=LSTSHOGSUQTVHHHKVK21AIWRB&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=8d967184-cff0-4bd4-a2cf-7f9ae0b1114c.SHOGSUQTVHHHKVK2.SEARCH&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,BLAIRE Walking Shoes For Women,CAMPUS ,771,0.31,4.3,629
https://www.flipkart.com/puma-pacific-maze-wn-s-running-shoes-women/p/itm54d515a0306aa?pid=SHOGFX6FJYYFG7E3&lid=LSTSHOGFX6FJYYFG7E3SJIMBR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=8d967184-cff0-4bd4-a2cf-7f9ae0b1114c.SHOGFX6FJYYFG7E3.SEARCH&ppt=hp&ppn=homepage&ssid=ddrziueb4w0000001716204985524&qH=32e27b1148959538,Pacific Maze Wn's Running Shoes For Women,PUMA ,1599,0.6,4.3,2103
